codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones,inicio_automatica
1210001,DGA,dga_web,Rio Lluta En Tocontasi,1850,-18.3667,-69.9003,12,Rio Lluta,121,Rio Lluta Bajo,1946-07-01,2017-02-15,11038,-
1210002,DGA,dga_web,Rio Lluta En El Molino,0,-18.3753,-69.9467,12,Rio Lluta,121,Rio Lluta Bajo,1940-03-01,1943-02-25,1092,-
1211001,DGA,dga_web,Rio Lluta En Panamericana,10,-18.4,-70.3,12,Rio Lluta,121,Rio Lluta Bajo,1985-01-01,2018-03-09,8780,2017-02-15
1300002,DGA,dga_web,Rio Laco En Cosapilla,3000,-18.4008,-68.5833,13,Rio San Jose,130,"Quebrada Azapa Alta (R Seco, Tignamar Q Chusmiza)",1995-09-12,2017-07-31,7249,-
1211002,DGA,dga_web,Rio Lluta En Puente Viejo Km 15,11,-18.4036,-70.2683,12,Rio Lluta,121,Rio Lluta Bajo,1979-01-09,1997-05-16,2573,-
1310005,DGA,dga_web,Rio San Jose En El Molino,0,-18.425,-69.9083,13,Rio San Jose,131,Rio San Jose,1947-04-01,1947-04-30,30,-
1021002,DGA,dga_web,Rio Guallatire En Guallatire,4280,-18.4931,-69.1494,10,Altiplanicas,102,Rio Lauca,1971-05-26,2018-03-09,15075,2017-08-01
1310001,DGA,dga_web,Rio San Jose En Livilcar,0,-18.5003,-69.7114,13,Rio San Jose,131,Rio San Jose,1937-02-20,1945-07-28,1715,-
1300009,DGA,dga_web,Rio Ticnamar En Angostura,3010,-18.5133,-69.5656,13,Rio San Jose,130,Azapa Alto,2006-01-01,2018-03-09,3456,2017-09-12
1300001,DGA,dga_web,Rio Ticnamar En Ticnamar,3800,-18.5325,-69.5433,13,Rio San Jose,130,"Quebrada Azapa Alta (R Seco, Tignamar Q Chusmiza)",1994-12-07,2005-12-29,2164,-
1021001,DGA,dga_web,Rio Lauca En Japu (O En El Limite),3907,-18.5833,-69.0467,10,Altiplanicas,102,Rio Lauca,1963-04-11,2017-09-30,12043,-
1310003,DGA,dga_web,Rio San Jose Antes Bocatoma Azapa,960,-18.5833,-69.9667,13,Rio San Jose,131,Rio San Jose,1975-05-15,1984-12-31,2850,-
1310002,DGA,dga_web,Rio San Jose En Ausipar,1300,-18.5844,-69.8114,13,Rio San Jose,131,Rio San Jose,1967-05-15,2018-03-09,10260,2001-08-18
1310004,DGA,dga_web,Acueducto Azapa En Bocatoma,960,-18.5856,-69.8867,13,Rio San Jose,131,Rio San Jose,1963-04-10,2017-07-31,14872,-
1410004,DGA,dga_web,Rio Codpa En Cala-Cala,1745,-18.8269,-69.6669,14,Costeras R.San Jose-Q.Camarones,141,Quebrada Vitor,1982-10-11,2018-03-09,10389,2013-03-20
1410005,DGA,dga_web,Rio Codpa En Ofragia,0,-18.8333,-69.8,14,Costeras R.San Jose-Q.Camarones,141,Quebrada Vitor,1946-08-01,1948-05-31,531,-
1410006,DGA,dga_web,Rio Codpa En Palca,0,-18.8417,-69.6667,14,Costeras R.San Jose-Q.Camarones,141,Quebrada Vitor,1946-07-01,1995-04-24,823,-
1502008,DGA,dga_web,Rio Camarones En Chilpe,1565,-18.9431,-69.6197,15,Q. Rio Camarones,150,Rio Camarones Antes Junta Quebrada De Chiza,2005-12-12,2018-03-09,2499,2016-12-22
1502002,DGA,dga_web,Rio Camarones En Conanoxa,710,-19.0444,-69.9842,15,Q. Rio Camarones,150,Rio Camarones Antes Junta Quebrada De Chiza,1958-04-19,2018-03-09,13065,2016-12-22
1610004,DGA,dga_web,Q. Camia 3 Km. A. Arriba De Tarcavire,3848,-19.1181,-69.2447,16,Costeras R.Camarones-Pampa Del Tamarugal,161,Quebrada De Camina,2006-01-01,2018-03-09,2150,2006-01-01
1610001,DGA,dga_web,Quebrada Camigna En Umigna,2580,-19.2,-69.3333,16,Costeras R.Camarones-Pampa Del Tamarugal,161,Quebrada De Camina,1962-06-24,1965-01-03,895,-
1041002,DGA,dga_web,Rio Isluga En Bocatoma,4000,-19.2711,-68.6797,10,Altiplanicas,104,Entre Estero Sencata Y Rio Sacaya,1995-05-25,2017-07-31,6281,-
1610002,DGA,dga_web,Quebrada CamiÑA En Altusa,2280,-19.2958,-69.3886,16,Costeras R.Camarones-Pampa Del Tamarugal,161,Quebrada De Camina,1978-10-30,2001-03-02,6136,-
1041001,DGA,dga_web,Rio Cariquima En Cariquima,4000,-19.4497,-68.6414,10,Altiplanicas,104,Entre Estero Sencata Y Rio Sacaya,1994-09-29,1999-01-29,1543,-
1710001,DGA,dga_web,Quebrada Camigna En Pacagua,0,-19.5667,-69.65,17,Pampa Del Tamarugal,171,Quebrada De Boga,1928-09-19,1931-10-31,1116,-
1730009,DGA,dga_web,Quebrada Aroma En Palca,0,-19.7,-68.9083,17,Pampa Del Tamarugal,173,Quebrada De Tarapaca,1929-02-11,1931-09-30,952,-
1730004,DGA,dga_web,Quebrada Tarapaca En Mulli-Mulli,0,-19.7256,-69.0253,17,Pampa Del Tamarugal,173,Quebrada De Tarapaca,1931-04-01,1947-02-28,3152,-
1720001,DGA,dga_web,Rio Aroma En Alagnusca,0,-19.7419,-69.6381,17,Pampa Del Tamarugal,172,Quebrada De Aroma,1928-09-11,1931-08-31,994,-
1730007,DGA,dga_web,Q. Tarapaca En Sibaya,2830,-19.7831,-69.1433,17,Pampa Del Tamarugal,173,Quebrada De Tarapaca,1928-08-25,2018-03-09,8063,2012-05-16
1730006,DGA,dga_web,Quebrada Tarapaca En Mocha,0,-19.8044,-69.2692,17,Pampa Del Tamarugal,173,Quebrada De Tarapaca,1928-08-22,1931-01-31,841,-
1730002,DGA,dga_web,Rio Tarapaca En Mina San Juan,0,-19.8297,-69.2869,17,Pampa Del Tamarugal,173,Quebrada De Tarapaca,1984-12-10,2003-12-20,5752,-
1730008,DGA,dga_web,Quebrada Tarapaca En Puchurca,0,-19.85,-69.3167,17,Pampa Del Tamarugal,173,Quebrada De Tarapaca,1928-09-01,1931-09-30,1045,-
1730012,DGA,dga_web,Q. Tarapaca En Laonsana,1847,-19.8531,-69.3442,17,Pampa Del Tamarugal,173,Quebrada De Tarapaca,2003-03-01,2017-09-30,2885,-
1044001,DGA,dga_web,Rio Cancosa En El Tambo,4000,-19.8586,-68.5858,10,Altiplanicas,104,Entre Estero Sencata Y Rio Sacaya,1994-08-10,2017-07-31,7596,-
1730003,DGA,dga_web,Rio Coscaya En Saitoco,0,-19.8642,-68.9297,17,Pampa Del Tamarugal,173,Quebrada De Tarapaca,1985-05-15,2017-07-14,9937,-
1730005,DGA,dga_web,Quebrada Tarapaca En Pachica,0,-19.8661,-69.4433,17,Pampa Del Tamarugal,173,Quebrada De Tarapaca,1928-12-09,1930-11-29,618,-
1730001,DGA,dga_web,Rio Coscaya En Pampa Lirima,3540,-19.8764,-68.9592,17,Pampa Del Tamarugal,173,Quebrada De Tarapaca,1977-12-08,1989-02-10,4003,-
1050003,DGA,dga_web,Rio Batea En Confluencia,0,-20.0333,-68.8333,10,Altiplanicas,105,Salar Del Huasco,1980-09-24,2017-06-13,11423,-
1050001,DGA,dga_web,Quebrada Piga En Ojos De Agua,0,-20.0333,-68.8333,10,Altiplanicas,105,Salar Del Huasco,1959-11-15,1995-04-17,1431,-
1050002,DGA,dga_web,Rio Piga En Collacagua,0,-20.0344,-68.8311,10,Altiplanicas,105,Salar Del Huasco,1959-11-15,2017-07-31,17745,-
1050004,DGA,dga_web,Rio Collacagua En Peablanca,3853,-20.1119,-68.8408,10,Altiplanicas,105,Salar Del Huasco,1981-02-11,2017-09-30,10943,-
1051001,DGA,dga_web,Vertiente El ErmitaÑO En Lag.Huasco,3790,-20.2867,-68.8875,10,Altiplanicas,105,Salar Del Huasco,2010-12-25,2017-07-31,216,-
2113001,DGA,dga_web,Rio Huatacondo En Copaquire,3540,-20.9333,-68.8833,21,Rio Loa,211,Loa Medio (Entre R.  Salado Y Q. De Barrera),1977-12-20,2017-06-19,12298,-
2120001,DGA,dga_web,Rio Loa En Desembocadura,0,-21.4247,-70.0536,21,Rio Loa,212,Rio Loa Bajo (Entre Quebrada Amarga Y Desemb.),1989-10-05,2017-07-31,7981,-
2112002,DGA,dga_web,Canal Quillagua En Quillagua,910,-21.6433,-69.5386,32,Rio Loa,322,Rio Loa Medio (Entre Rio Salado Y Quebrada Amarga),1977-10-25,2002-05-08,7708,-
2112001,DGA,dga_web,Rio Loa En Quillagua,802,-21.65,-69.5333,32,Rio Loa,322,Rio Loa Medio (Entre Rio Salado Y Quebrada Amarga),1916-10-20,1973-02-21,9248,-
2101001,DGA,dga_web,Rio Loa Antes Represa Lequena,3315,-21.6558,-68.6622,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1967-07-11,2018-03-09,15480,2016-01-01
2112005,DGA,dga_web,Rio Loa Antes Zona Agricola Quillagua,950,-21.7125,-69.5167,32,Rio Loa,322,Rio Loa Medio (Entre Rio Salado Y Quebrada Amarga),1998-10-22,2012-01-25,3768,-
2103004,DGA,dga_web,Rio San Pedro En San Pedro,0,-21.9314,-68.5603,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1916-10-01,1931-04-30,4780,-
2103003,DGA,dga_web,Rio San Pedro En Camino Internacional,3320,-21.9369,-68.5331,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1979-10-04,1989-03-30,2596,-
2103002,DGA,dga_web,"Rio San Pedro En Parshall N""2 (Bt. Chilex)",3318,-21.9425,-68.5122,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1967-11-13,2016-12-29,14951,-
2103001,DGA,dga_web,"Rio San Pedro En Parshall N""1",3700,-21.9664,-68.3661,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1967-12-28,2017-07-31,13890,-
2104013,DGA,dga_web,Rio Loa En Vado Santa Barbara (Doh),2950,-21.9719,-68.6083,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),2006-01-01,2018-02-03,3486,2006-01-01
2104004,DGA,dga_web,"Rio Loa En Alcantarilla Conchi N""1",2975,-21.9739,-68.6067,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1977-10-05,1979-08-31,657,-
2104003,DGA,dga_web,"Rio Loa En Alcantarilla Conchi N""2",2932,-21.9756,-68.6075,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1979-08-26,2006-03-28,9131,-
2104001,DGA,dga_web,Rio Loa En Conchi,3010,-21.9881,-68.6067,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1916-10-01,1975-12-31,8406,-
2103014,DGA,dga_web,Rio Siloli Antes B.T. Fcab,4000,-22.0103,-68.0269,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),2001-02-22,2018-03-09,5628,2011-01-01
2104002,DGA,dga_web,Rio Loa En Salida Embalse Conchi,2950,-22.0278,-68.6208,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1976-02-12,2017-07-31,13159,-
2105008,DGA,dga_web,Vertiente Turi Turi,0,-22.2289,-68.2808,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1980-05-30,1981-08-07,433,-
2105007,DGA,dga_web,Rio Toconce Antes Represa Sendos,0,-22.2731,-68.1439,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1982-11-25,2016-04-27,9540,-
2105001,DGA,dga_web,Rio Salado A. J. Curti,3080,-22.2792,-68.2428,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1975-12-23,2017-07-31,13251,-
2105002,DGA,dga_web,Rio Salado En Sifon Ayquina,2980,-22.2894,-68.3447,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1975-03-23,2018-02-15,13495,2015-01-02
2112007,DGA,dga_web,Rio Loa D. J. San Salvador-(M. Elena),1240,-22.3431,-69.565,32,Rio Loa,322,Rio Loa Medio (Entre Rio Salado Y Quebrada Amarga),1993-03-31,2016-11-24,6868,-
2104005,DGA,dga_web,Rio Loa Antes Junta Rio Salado,2505,-22.3606,-68.65,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1916-10-03,1931-07-31,5293,-
2105005,DGA,dga_web,Rio Salado A. J. Loa,2500,-22.3653,-68.6419,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1916-10-03,2013-08-27,8347,-
2110008,DGA,dga_web,Rio Loa Despues Junta Rio Salado (Ca),2500,-22.3733,-68.6572,32,Rio Loa,322,Rio Loa Medio (Entre Rio Salado Y Quebrada Amarga),1916-10-01,1931-07-31,5356,-
2112006,DGA,dga_web,Rio Loa D. J. San Salvador (Chacance),1238,-22.3922,-69.53,32,Rio Loa,322,Rio Loa Medio (Entre Rio Salado Y Quebrada Amarga),1915-12-16,2015-12-17,8749,-
2111002,DGA,dga_web,Rio San Salvador Antes Junta Rio Loa,1238,-22.3947,-69.5261,32,Rio Loa,322,Rio Loa Medio (Entre Rio Salado Y Quebrada Amarga),1915-12-15,1986-04-30,4645,-
2110007,DGA,dga_web,Rio Loa Antes Junta San Salvador,1238,-22.3961,-69.5278,32,Rio Loa,322,Rio Loa Medio (Entre Rio Salado Y Quebrada Amarga),1916-10-16,1984-09-24,1445,-
2110001,DGA,dga_web,Rio Loa En Escorial,2450,-22.4419,-68.8886,32,Rio Loa,322,Rio Loa Medio (Entre Rio Salado Y Quebrada Amarga),1964-03-13,2018-03-03,7179,2014-01-03
2110002,DGA,dga_web,Rio Loa En Yalquincha,2300,-22.4469,-68.8775,32,Rio Loa,322,Rio Loa Medio (Entre Rio Salado Y Quebrada Amarga),1947-06-18,2009-06-23,13851,-
2110031,DGA,dga_web,Rio Loa En Angostura,2470,-22.4583,-68.7364,32,Rio Loa,322,Rio Loa Medio (Entre Rio Salado Y Quebrada Amarga),2011-01-01,2017-07-31,1895,2011-01-01
2110003,DGA,dga_web,Rio Loa En Chintoraste,2200,-22.5028,-68.9772,32,Rio Loa,322,Rio Loa Medio (Entre Rio Salado Y Quebrada Amarga),1958-05-14,1972-03-24,4078,-
2110004,DGA,dga_web,Rio Loa En Finca,2100,-22.5061,-68.9889,32,Rio Loa,322,Rio Loa Medio (Entre Rio Salado Y Quebrada Amarga),1971-06-08,2017-07-31,13869,-
2510001,DGA,dga_web,Rio San Pedro En Cuchabrachi,2585,-22.8225,-68.1983,25,Salar De Atacama,251,Rio San Pedro,1947-06-23,2015-07-07,18345,-
2500001,DGA,dga_web,Rio Vilama En Vilama,2550,-22.8667,-68.1833,25,Salar De Atacama,250,Salar De Atacama,1971-01-01,1972-02-03,379,-
2500004,DGA,dga_web,Canal Vilama En Vilama,2550,-22.8697,-68.1792,25,Salar De Atacama,250,Salar De Atacama,1976-04-08,2016-12-19,13457,-
2500002,DGA,dga_web,Canal Aguas Blancas,2415,-23.2725,-68.0133,25,Salar De Atacama,250,Salar De Atacama,1977-01-01,2001-04-17,4030,-
2500005,DGA,dga_web,Canal Cuno En Socaire,3600,-23.6119,-67.8469,25,Salar De Atacama,250,Salar De Atacama,1989-11-03,2017-07-31,9410,-
2500003,DGA,dga_web,Canal Tulan En Tilomonte,2450,-23.7897,-68.1081,25,Salar De Atacama,250,Salar De Atacama,1977-05-27,2000-08-22,3166,-
2500006,DGA,dga_web,Canal Tilomonte Antes Represa,4000,-23.7967,-68.0953,25,Salar De Atacama,250,Salar De Atacama,1997-04-24,2017-07-31,7077,-
3022001,DGA,dga_web,Rio La Ola En Vertedero,0,-26.4808,-69.06,30,Endorreicas Entre Frontera Y Vertiente,302,Salar De Pedernales,1986-06-17,2017-07-31,10006,-
3041005,DGA,dga_web,Rio Lamas En El Salto,4130,-27.08,-68.9306,30,Endorreicas Entre Frontera Y Vertiente,304,Salar De Maricunga,1980-02-21,2017-07-31,12102,-
3041004,DGA,dga_web,Rio Valle Ancho En La Barrera,3800,-27.1333,-69.0003,30,Endorreicas Entre Frontera Y Vertiente,304,Salar De Maricunga,1979-04-24,2017-07-31,6467,-
3041002,DGA,dga_web,Rio Villalobos En Vertedero,3850,-27.2025,-69.025,30,Endorreicas Entre Frontera Y Vertiente,304,Salar De Maricunga,1979-06-07,2017-07-31,10651,-
3041003,DGA,dga_web,Rio Valle Ancho Antes  Junta Barros Negros,3950,-27.2622,-69.0028,30,Endorreicas Entre Frontera Y Vertiente,304,Salar De Maricunga,1979-04-24,2017-07-31,7427,-
3041001,DGA,dga_web,Rio Barros Negros Antes Junta Valle Ancho,3965,-27.2642,-68.9975,30,Endorreicas Entre Frontera Y Vertiente,304,Salar De Maricunga,1979-04-24,2017-07-31,7556,-
3453001,DGA,dga_web,Rio Copiapo En Angostura,48,-27.3194,-70.8381,34,Rio Copiapo,345,Rio Copiapo Bajo (Entre Q. Paipote Y Desemb.),1963-04-29,2017-05-01,18383,-
3450001,DGA,dga_web,Rio Copiapo En Ciudad De Copiapo,0,-27.3636,-70.3392,34,Rio Copiapo,345,Rio Copiapo Bajo (Entre Q. Paipote Y Desemb.),1983-01-02,2012-11-29,5865,-
3050001,DGA,dga_web,Rio Astaburuaga En Cono,4130,-27.4597,-69.0453,30,Endorreicas Entre Frontera Y Vertiente,305,Laguna Del Negro Francisco,1979-12-16,2017-04-12,5984,-
3434002,DGA,dga_web,Canal Mal Paso Despues De Bocatoma,431,-27.5147,-70.2644,34,Rio Copiapo,343,Rio Copiapo Medio (Entre R. Jorquera Q. Paipote),1988-09-16,2017-04-27,9363,-
3434003,DGA,dga_web,Rio Copiapo En Mal Paso Aguas Abajo Canal,431,-27.5161,-70.2647,34,Rio Copiapo,343,Rio Copiapo Medio (Entre R. Jorquera Q. Paipote),1988-08-26,2015-03-24,5444,-
3434001,DGA,dga_web,Rio Copiapo En Mal Paso Aguas Arriba Canal,431,-27.5244,-70.2689,34,Rio Copiapo,343,Rio Copiapo Medio (Entre R. Jorquera Q. Paipote),1929-07-30,1988-01-19,13886,-
3431003,DGA,dga_web,Rio Copiapo En Pabellon,0,-27.6528,-70.2331,34,Rio Copiapo,343,Rio Copiapo Medio (Entre R. Jorquera Q. Paipote),1927-10-28,1930-07-03,859,-
3431002,DGA,dga_web,Rio Copiapo En El Bosque,0,-27.7256,-69.6586,34,Rio Copiapo,343,Rio Copiapo Medio (Entre R. Jorquera Q. Paipote),1918-12-01,1931-08-31,3933,-
3431001,DGA,dga_web,Rio Copiapo En La Puerta,915,-27.8044,-70.1269,34,Rio Copiapo,343,R.  Copiapo Medio,1927-10-19,2017-04-20,23794,2007-01-01
3430002,DGA,dga_web,Rio Copiapo En San Antonio,850,-27.8667,-70.0667,34,Rio Copiapo,343,Rio Copiapo Medio (Entre R. Jorquera Q. Paipote),1927-10-18,1988-01-11,7351,-
3430001,DGA,dga_web,Rio Copiapo En Lautaro,1200,-27.9747,-69.9978,34,Rio Copiapo,343,Rio Copiapo Medio (Entre R. Jorquera Q. Paipote),1931-09-24,2018-03-09,26302,2015-02-17
3430003,DGA,dga_web,Rio Copiapo En Pastillo,1300,-28.0003,-69.9747,34,Rio Copiapo,343,R.  Copiapo Medio,1927-10-15,2018-03-09,19724,2015-04-23
3404001,DGA,dga_web,Rio Jorquera En Vertedero,1250,-28.0431,-69.9567,34,Rio Copiapo,340,Rio Jorquera,1949-02-08,2017-07-31,18660,-
3414001,DGA,dga_web,Rio Pulido En Vertedero,1310,-28.0858,-69.9408,34,Rio Copiapo,341,Rio Pulido,1964-02-04,2018-03-09,18973,2016-01-01
3421002,DGA,dga_web,Rio Manflas Ante Junta Con Rio Copiapo,0,-28.1333,-70.0,34,Rio Copiapo,342,Rio Manflas,1985-07-01,1985-09-30,92,-
3421001,DGA,dga_web,Rio Manflas En Vertedero,1550,-28.1478,-69.9939,34,Rio Copiapo,342,Rio Manflas,1964-02-04,2017-07-31,17307,-
3826001,DGA,dga_web,Rio Huasco En Huasco Bajo,0,-28.4647,-71.1783,38,Rio Huasco,382,Rio Huasco,1987-08-21,1997-08-17,3096,-
3825001,DGA,dga_web,Rio Huasco En Puente Nicolasa,167,-28.5119,-71.0064,38,Rio Huasco,382,Rio Huasco,1971-10-11,2017-07-31,9485,-
3820003,DGA,dga_web,Rio Huasco En Santa Juana,575,-28.6719,-70.6464,38,Rio Huasco,382,Rio Huasco,1928-02-01,2017-07-31,19255,-
3820002,DGA,dga_web,Rio Huasco En Chepica,600,-28.6997,-70.55,38,Rio Huasco,382,Rio Huasco,2001-06-07,2018-03-09,5670,2015-12-17
3820001,DGA,dga_web,Rio Huasco En Algodones,750,-28.7306,-70.5067,38,Rio Huasco,382,Rio Huasco,1975-07-18,2017-07-31,12773,2015-12-17
3815001,DGA,dga_web,Rio Carmen En Ramadillas,825,-28.75,-70.4867,38,Rio Huasco,381,Rio Del Carmen,1918-11-01,2017-06-30,21918,-
3806001,DGA,dga_web,Rio Transito Antes Junta Rio Carmen,812,-28.7503,-70.4828,38,Rio Huasco,380,Rio Transito,1927-10-11,2015-02-24,28616,-
3804004,DGA,dga_web,Rio Transito En El Transito,0,-28.8667,-70.2833,38,Rio Huasco,380,Rio Transito,1929-11-11,1931-08-31,619,-
3802002,DGA,dga_web,Rio Conay En Junta Laguna Grande,0,-28.8833,-70.0667,38,Rio Huasco,380,Rio Transito,1928-02-01,1930-06-10,854,-
3804003,DGA,dga_web,Rio Huasco En Chanchoquin,0,-28.9,-70.2833,38,Rio Huasco,380,Rio Transito,1927-10-09,1930-11-17,1109,-
3815002,DGA,dga_web,Rio Carmen En Pte. La Majada,1075,-28.9319,-70.4581,38,Rio Huasco,381,Rio Del Carmen,1988-09-26,2017-07-31,8056,-
3814001,DGA,dga_web,Rio Carmen En San Felix,812,-28.94,-70.4569,38,Rio Huasco,381,Rio Del Carmen,1929-11-28,1988-02-03,8405,-
3804002,DGA,dga_web,Rio Transito En Angostura Pinte,1000,-28.9414,-70.2481,38,Rio Huasco,380,Rio Transito,1964-12-07,2017-07-31,17491,-
3802001,DGA,dga_web,Rio Conay En Las Lozas,0,-28.9456,-70.1011,38,Rio Huasco,380,Rio Transito,1984-10-26,2018-03-09,10639,2017-07-28
3804001,DGA,dga_web,Rio Transito En Los Tambos,1400,-28.95,-70.2167,38,Rio Huasco,380,Rio Transito,1958-11-01,1971-12-31,4147,-
3802003,DGA,dga_web,Rio Huasco Antes Junta Rio Cholai-Conay,0,-28.975,-71.175,38,Rio Huasco,380,Rio Transito,1928-02-16,1930-06-11,846,-
3814002,DGA,dga_web,Rio Carmen En El Colorado,0,-28.9833,-70.5167,38,Rio Huasco,381,Rio Del Carmen,1928-10-05,1931-08-31,1050,-
3814003,DGA,dga_web,Rio Carmen En El Corral,2000,-29.1094,-70.4139,38,Rio Huasco,381,Rio Del Carmen,1991-10-11,2018-03-09,9354,2017-03-16
4110001,DGA,dga_web,Rio Elqui En Molle,0,-29.4833,-70.9833,41,Rio Los Choros,411,Quebrada Del Pelicano,1946-08-16,1951-05-15,1560,-
4302003,DGA,dga_web,Dren G Tranque El Indio (2-D Drenes),0,-29.8192,-70.0144,43,Rio Elqui,430,Rio Turbio,2002-05-01,2002-05-31,31,-
4306001,DGA,dga_web,Rio Turbio En Huanta,1195,-29.8431,-70.3861,43,Rio Elqui,430,Rio Turbio,1928-11-01,1983-03-31,8383,-
4331001,DGA,dga_web,Rio Elqui En Punta De Piedra,160,-29.8667,-71.1,43,Rio Elqui,433,Rio Elqui Bajo (Entre Q. El Arrayan Y Desemb),1952-07-13,1965-05-31,3891,-
4335001,DGA,dga_web,Rio Elqui En La Serena,20,-29.8931,-71.2514,43,Rio Elqui,433,Rio Elqui Bajo (Entre Q. El Arrayan Y Desemb),1985-01-18,2017-06-30,9510,-
4308001,DGA,dga_web,Rio Turbio En Varillar,890,-29.9458,-70.5328,43,Rio Elqui,430,Rio Turbio,1914-04-01,2018-03-09,36667,2016-10-02
4305001,DGA,dga_web,Rio Turbio En Las Terneras,0,-29.95,-70.3833,43,Rio Elqui,430,Rio Turbio,1946-08-12,1948-02-08,545,-
4302001,DGA,dga_web,Rio Toro Antes Junta Rio La Laguna,2165,-29.9711,-70.0928,43,Rio Elqui,430,Rio Turbio,1985-06-05,2018-03-09,11185,2016-10-02
4314002,DGA,dga_web,Rio Claro En Rivadavia,820,-29.9781,-70.5525,43,Rio Elqui,431,Rio Claro,1914-03-16,2018-03-09,34943,2016-10-02
4400001,DGA,dga_web,Estero Culebron En El Sifon,70,-29.9789,-71.2861,44,Costeras R.Elqui-R.Limari,440,Costeras Entre E. El Culebron Y Q. El Romeral,1986-03-01,2017-07-08,11020,-
4323001,DGA,dga_web,Rio Elqui En Almendral,395,-29.9811,-70.8981,43,Rio Elqui,432,"Rio Elqui Medio (Jta Turbio, Claro Y Q El Arrayan)",1918-05-25,2017-07-31,24062,-
4304001,DGA,dga_web,Rio Ingaguas En Las Terneras,0,-29.9833,-70.25,43,Rio Elqui,430,Rio Turbio,1946-08-12,1948-02-29,563,-
4320001,DGA,dga_web,Rio Elqui En Algarrobal,760,-29.9953,-70.5867,43,Rio Elqui,432,R. Elqui Medio,1916-09-01,2018-03-09,29800,2015-04-01
